Latitude,Longitude,Temperature(F),Humidity%,Clouds%,Wind Speed(mph)
-33.01,-68.8,60.8,44,0,3.36
-33.02,27.91,60.53,100,88,9.75
-18.36,21.84,56.3,37,0,2.71
22.89,-109.91,81.59,74,5,6.93
34.64,-120.46,66.31,89,90,3.36
65.42,-52.9,31.46,100,88,5.28
-34.53,20.04,44.6,87,0,5.82
19.71,-155.08,75.42,69,40,11.41
25.29,51.53,86.0,74,0,5.82
25.21,64.64,78.62,80,0,5.95
-33.59,26.89,59.54,100,64,6.85
62.45,-114.38,24.8,62,90,3.36
77.48,-69.36,16.34,100,0,15.57
38.73,-27.07,68.0,94,20,9.08
47.73,-3.43,50.79,100,0,6.93
-9.8,-139.03,79.34,100,0,14.45
15.34,74.49,75.11,89,0,4.27
21.46,-71.14,82.4,100,64,9.42
-22.95,14.51,57.2,82,0,8.05
44.83,-0.61,51.62,87,0,3.36
36.57,4.2,55.67,100,92,1.92
3.07,172.79,85.1,100,8,6.4
42.65,131.06,67.37,85,0,4.27
-46.19,168.86,45.14,100,80,7.18
-33.64,115.35,68.27,82,76,16.02
-30.17,-50.22,54.86,92,24,4.61
-42.78,147.06,53.6,46,20,10.29
-25.18,46.09,63.86,100,0,6.4
64.73,177.51,50.0,87,90,17.9
-38.31,-60.23,43.43,68,0,5.61
1.94,-76.24,52.88,94,20,1.7
-25.04,33.64,65.84,100,100,27.42
35.73,140.83,72.21,68,75,14.99
-28.65,153.62,73.4,60,32,19.46
-23.12,-134.97,68.81,100,36,19.26
70.86,29.09,36.59,100,88,15.57
5.28,115.24,86.92,79,75,4.7
64.42,-173.23,50.0,81,90,8.95
50.56,-96.99,35.06,99,0,14.23
38.18,-1.13,61.7,77,0,2.24
46.45,135.83,60.8,49,0,2.82
-46.43,-67.52,49.91,50,32,7.63
45.36,-73.48,51.66,93,90,6.93
45.6,-0.6,51.8,87,0,7.63
42.84,93.51,56.21,43,0,5.73
-21.48,-56.15,71.33,92,44,4.5
8.96,38.73,53.6,71,20,2.24
-0.72,8.78,76.55,99,64,6.17
-16.99,145.42,82.4,51,20,14.99
-9.65,120.26,88.34,51,0,8.41
-0.6,73.08,83.03,100,80,23.06
56.15,101.63,33.8,69,36,4.47
50.67,17.92,44.51,81,8,11.88
61.05,41.34,43.7,99,92,10.65
-3.73,-38.66,78.8,78,20,10.29
-21.04,-57.87,72.32,80,0,9.53
25.05,61.74,76.46,99,36,3.15
-2.57,150.8,85.73,100,24,4.38
8.5,-73.35,65.84,95,36,1.14
73.51,80.55,38.03,100,76,19.04
55.74,-97.86,28.4,74,40,9.17
63.44,-20.27,41.54,100,92,17.13
27.18,31.19,68.81,69,0,5.28
-0.74,-90.35,70.43,100,0,12.1
34.06,108.63,64.4,52,0,6.71
69.22,-51.1,23.0,73,80,4.61
47.51,15.45,42.8,100,20,1.12
9.53,-6.48,71.78,91,20,2.71
65.61,-37.64,30.2,54,56,3.36
0.62,-77.93,50.18,100,20,2.15
54.19,32.16,43.61,96,92,15.46
-3.83,32.6,65.84,83,56,4.83
31.21,16.59,73.49,100,12,9.53
-3.2,-59.81,81.46,69,0,2.24
51.62,-3.81,55.4,93,90,8.05
69.44,-133.03,24.8,79,75,14.99
-13.71,-76.2,64.4,82,0,6.93
-24.93,-65.37,62.13,67,0,9.17
-32.03,-52.1,53.24,100,0,4.5
17.54,120.52,82.4,69,20,2.24
39.95,-94.76,82.94,65,1,12.75
41.53,-8.62,55.33,51,0,3.36
14.35,3.32,76.82,77,8,2.37
60.42,134.54,43.34,83,68,3.71
-28.77,32.06,57.83,99,100,13.89
-46.28,169.85,46.04,100,92,12.21
37.17,-99.65,73.58,82,56,5.5
-8.16,-70.77,78.44,77,8,4.72
-3.99,122.52,88.7,59,24,5.73
14.2,24.66,73.31,58,48,7.63
-21.35,165.16,71.33,98,80,15.12
-23.58,149.07,84.92,30,12,5.39
71.98,102.47,30.56,94,64,11.99
69.38,178.42,40.37,87,24,11.32
38.52,-28.7,72.32,99,76,10.76
-53.16,-70.91,41.0,75,75,14.99
22.08,-159.32,83.1,74,40,13.87
29.7,-91.21,76.39,100,1,5.73
-38.66,178.02,62.33,59,92,8.41
9.49,50.81,76.1,98,12,4.94
10.2,122.99,84.2,79,24,3.6
-3.54,118.97,84.11,93,0,8.63
2.14,27.99,64.58,98,12,2.15
-2.02,147.27,84.47,100,24,2.59
27.64,-110.3,86.09,58,5,5.61
-30.97,22.13,37.13,72,0,9.64
-19.55,169.27,73.31,100,76,9.64
15.86,-97.07,82.4,69,40,5.82
-33.21,138.6,56.03,80,0,13.0
-33.44,-70.65,59.0,28,0,2.24
-14.47,132.26,91.4,36,0,8.05
41.47,-87.06,80.47,54,1,20.8
-20.74,116.85,98.15,17,12,7.29
59.7,30.79,42.8,81,75,13.42
78.22,15.63,32.0,100,75,11.41
56.76,48.47,51.53,96,92,15.23
41.56,14.66,53.6,91,56,2.71
52.56,-1.82,54.34,93,0,4.7
-6.64,-51.99,75.11,93,0,1.92
50.53,42.67,47.66,79,64,11.21
30.69,78.49,55.22,82,44,2.04
-29.67,22.74,45.5,44,0,10.76
55.79,84.89,44.6,70,80,9.19
49.54,39.1,49.91,75,92,11.77
23.99,-104.67,69.8,49,5,4.7
17.01,54.1,73.4,64,0,3.36
60.91,-46.05,35.6,55,12,5.82
62.58,6.12,42.57,75,92,8.05
16.78,94.73,80.96,97,44,5.17
-13.47,-72.15,53.6,46,20,2.24
71.64,128.87,28.13,96,12,4.83
-4.94,122.53,87.8,72,8,5.61
-43.3,-65.11,53.06,42,8,7.63
63.75,-68.52,32.0,100,90,21.92
-25.17,45.06,58.73,91,36,3.38
62.91,6.91,42.24,93,92,8.05
-32.25,148.6,60.8,93,75,8.05
-21.05,31.67,64.58,82,100,13.22
5.28,115.24,86.92,79,75,4.7
-20.34,57.76,60.8,82,20,8.05
20.71,-105.21,84.2,94,40,0.25
33.93,134.5,66.2,88,75,5.82
71.03,27.85,36.95,96,88,14.9
14.69,-16.54,77.81,94,0,4.72
27.52,-110.01,84.2,58,5,3.94
25.72,-79.3,81.77,100,48,17.69
10.24,-61.45,80.6,94,20,5.82
60.75,-137.51,31.37,77,20,1.92
-3.25,-79.94,89.6,33,90,3.36
-33.52,-53.37,51.8,89,56,5.17
35.76,139.74,69.58,68,75,8.05
-8.83,13.24,73.4,88,75,4.7
30.3,-99.24,75.45,71,1,3.36
-10.75,-77.76,60.89,100,68,5.28
25.33,76.51,85.55,48,0,2.15
67.55,63.78,40.28,95,92,15.01
-25.41,-70.49,55.31,93,76,1.36
28.17,94.8,69.98,72,8,1.81
4.58,13.68,67.91,95,64,5.17
17.49,120.43,76.28,83,36,2.15
-6.72,32.06,73.04,53,68,6.85
-8.93,125.41,86.81,42,0,1.14
6.8,-58.16,77.0,94,0,6.93
-34.72,135.86,57.29,91,8,13.78
8.5,-71.39,66.2,93,75,1.92
27.43,-82.59,80.06,76,1,5.82
36.62,-121.92,64.56,87,75,5.82
4.92,6.26,74.66,98,92,3.38
52.11,-101.27,31.46,68,24,7.63
-2.79,-49.67,77.27,91,20,3.94
47.42,25.31,36.5,89,80,5.06
33.16,-94.97,76.98,83,1,4.7
-17.73,-39.27,77.36,100,36,16.58
-20.01,57.66,60.8,82,20,8.05
71.97,114.09,29.93,92,64,12.44
18.85,76.53,77.45,75,64,1.36
34.03,75.33,30.47,91,80,1.36
20.89,-156.47,81.72,65,40,20.8
53.19,44.05,45.32,93,88,14.79
-45.58,-72.07,41.0,75,0,4.7
31.89,120.61,77.0,69,12,15.46
9.06,-62.05,80.6,81,8,8.52
49.25,-55.06,46.4,70,90,11.41
47.58,-53.28,46.4,75,90,10.29
38.44,57.43,61.7,69,24,2.15
65.58,-170.99,47.03,87,92,21.83
55.84,48.25,52.68,93,90,13.42
-34.58,150.85,55.4,100,90,11.41
26.54,-77.06,82.31,100,80,21.72
47.66,-52.73,46.4,75,90,10.29
66.82,65.8,30.65,92,20,7.4
-9.54,16.35,64.4,99,92,3.6
-8.61,120.46,84.56,59,20,5.73
-6.76,108.17,85.01,77,8,3.49
14.9,-24.5,79.16,95,20,13.33
-25.24,130.99,75.2,36,0,14.99
-20.41,57.7,60.8,82,20,8.05
-5.09,-81.11,67.28,86,88,6.96
37.14,-8.45,69.8,68,0,6.93
52.47,96.11,32.0,72,76,4.27
-15.0,22.67,59.99,31,0,7.52
10.57,72.64,83.3,100,56,11.21
29.87,67.33,48.2,41,0,1.59
44.02,-92.46,57.78,73,75,33.33
62.23,-6.59,48.2,93,92,12.75
-33.18,138.01,59.0,58,90,18.34
68.06,166.44,37.13,90,68,3.04
29.03,21.55,81.41,29,36,10.76
-19.06,-169.92,78.8,69,92,14.99
-29.95,-71.34,53.6,87,0,2.24
16.48,78.32,80.78,70,20,4.05
8.0,124.29,81.95,67,24,3.04
1.74,98.78,74.3,97,76,1.14
7.42,81.82,78.44,96,64,4.94
-11.1,-77.61,59.18,94,24,3.04
43.56,19.07,39.74,93,0,0.92
47.69,-114.16,37.4,72,64,1.92
61.99,-49.67,35.6,100,12,4.5
63.29,118.35,41.36,64,76,7.96
68.75,161.3,36.05,88,88,7.18
55.1,-105.3,28.4,63,40,11.41
-2.92,-39.92,75.56,88,8,11.77
18.08,-15.98,80.06,96,8,3.38
38.88,-99.33,68.54,54,1,28.86
28.66,-17.92,71.6,78,68,6.93
46.54,138.33,59.81,87,0,4.72
20.35,-74.5,78.71,100,44,6.85
70.62,147.9,31.73,100,80,11.1
-12.12,-73.0,66.2,91,8,2.48
-3.55,143.63,80.6,100,24,1.81
39.5,67.61,57.2,54,0,4.7
50.03,-66.88,44.6,93,90,11.41
-8.15,159.59,82.31,93,88,6.51
53.6,91.39,42.8,87,0,4.47
13.06,5.24,72.68,87,36,1.92
34.92,32.53,66.2,77,0,8.05
66.77,123.37,35.15,100,92,3.83
-10.26,29.92,73.31,42,100,7.52
-3.66,152.44,84.2,100,32,7.4
33.72,135.99,68.0,94,75,4.7
7.87,9.78,76.1,92,88,7.85
37.46,-122.43,69.04,75,75,3.36
-13.28,-50.16,78.35,75,8,2.71
41.42,-6.55,46.31,86,0,4.61
9.27,-3.0,74.75,90,36,5.06
59.51,15.99,35.6,100,0,8.05
-27.36,29.88,40.73,100,92,6.06
63.01,112.47,38.12,75,64,7.18
-21.42,25.59,60.26,22,56,9.64
54.78,-127.17,37.4,47,75,3.36
23.48,-103.88,57.11,49,0,5.17
8.02,124.26,81.95,67,24,3.04
55.76,-120.23,37.11,44,75,4.7
12.15,-68.27,84.2,74,44,12.75
53.7,102.71,37.4,70,64,8.19
61.19,46.56,44.96,98,92,10.42
42.77,-9.06,55.4,87,0,4.5
47.55,-2.56,51.8,93,0,3.36
1.44,125.19,93.2,49,20,3.36
-12.05,134.23,84.92,60,0,13.44
3.41,-76.35,73.4,78,40,4.7
-2.54,115.51,85.1,73,20,2.26
34.64,-99.33,81.34,61,1,12.75
6.41,-58.62,77.0,94,0,6.93
-25.3,152.85,73.04,82,0,6.4
-35.17,173.16,59.0,85,100,11.88
-8.57,32.05,60.26,85,68,2.93
34.1,-98.57,80.78,64,1,9.17
30.04,-94.42,77.2,100,1,4.38
52.84,-110.86,26.6,71,12,5.95
13.08,109.3,76.55,100,92,10.54
-23.13,150.74,82.4,34,0,6.93
39.6,-110.81,55.94,93,90,13.87
60.79,-161.76,50.0,86,90,11.41
41.17,75.81,35.51,58,0,2.93
-43.53,172.64,69.8,28,44,4.7
37.38,55.49,62.51,83,0,4.16
-27.8,-64.26,63.23,45,80,6.96
10.15,-85.45,75.2,94,75,5.82
-21.21,-159.78,75.2,53,40,16.11
44.45,-88.06,76.68,73,75,14.99
45.32,55.19,58.28,47,56,6.73
33.08,-16.33,67.21,93,20,4.7
-33.69,-53.46,51.8,89,56,5.17
-26.79,-60.44,62.33,73,68,8.63
6.7,-1.62,71.96,96,64,3.38
-20.22,-70.14,62.6,82,20,8.05
-11.81,-37.61,75.02,93,92,7.52
-3.71,-38.6,78.8,78,20,10.29
-35.1,173.78,56.39,91,92,11.43
-22.97,-42.02,77.0,83,40,9.17
28.16,69.73,75.11,60,0,13.22
22.99,71.47,78.44,64,0,4.61
39.96,68.4,59.45,63,0,4.16
4.91,-75.23,72.48,83,90,4.7
72.79,-56.15,30.11,100,68,8.75
-23.53,148.16,83.57,35,32,5.73
28.21,83.99,64.94,65,0,1.14
60.82,-115.79,24.8,92,75,2.24
45.28,38.84,60.8,93,75,4.47
21.35,-158.09,84.81,51,20,6.93
50.11,8.7,39.45,93,0,1.12
-21.64,-41.05,73.4,88,0,4.7
-13.61,29.4,64.4,71,0,9.19
22.49,90.06,89.78,77,0,3.94
39.15,-123.21,66.92,78,90,3.36
48.94,20.56,36.57,78,40,3.36
9.28,79.3,76.46,100,92,7.74
35.55,133.23,71.6,56,90,17.22
29.56,-104.41,77.27,55,36,3.83
48.03,40.04,46.4,85,20,8.52
16.38,-93.6,78.8,69,40,10.29
39.62,-77.74,68.14,70,1,6.93
33.18,-102.27,80.17,56,1,10.29
52.21,104.21,32.0,86,90,20.13
-33.25,-58.03,49.73,66,0,3.38
-41.87,-73.83,41.0,87,12,5.17
20.27,81.49,81.77,76,0,4.5
49.98,19.15,42.76,87,75,9.17
60.14,-45.24,35.78,96,24,20.49
64.25,-15.21,45.59,100,92,15.9
31.42,-103.49,79.48,56,1,3.36
56.85,105.25,35.78,77,80,3.71
-35.36,150.48,55.4,100,90,11.41
-28.95,153.24,76.91,62,76,3.38
17.48,106.6,78.53,100,92,9.75
39.23,106.34,67.01,16,0,2.37
56.12,101.17,33.8,69,36,4.47
50.7,-127.42,48.2,70,75,3.36
40.58,-86.19,76.37,74,1,13.87
39.45,22.34,64.4,88,20,4.7
69.49,88.39,30.74,94,80,18.48
31.67,20.25,68.54,50,76,3.6
-32.24,-53.09,55.04,100,24,5.73
37.16,122.42,73.67,67,0,9.53
41.88,16.18,62.6,88,75,8.05
65.73,150.89,32.18,87,32,2.82
13.6,26.69,74.12,64,0,9.64
29.98,76.83,72.77,92,24,4.5
-7.12,39.21,66.74,91,64,2.37
35.01,37.05,53.33,84,0,4.16
7.26,-8.15,73.04,98,92,3.71
-45.41,167.72,44.6,100,100,2.26
22.48,103.95,70.07,72,8,2.15
17.31,-98.74,67.01,89,48,1.81
50.68,156.12,47.3,96,56,21.83
57.64,18.3,44.6,81,68,11.41
68.22,-135.01,26.6,73,90,9.17
-34.05,23.37,56.3,100,0,6.4
29.14,21.3,82.67,29,76,11.54
-6.9,112.33,88.16,68,8,4.16
-5.67,132.75,81.68,96,56,12.21
45.45,41.98,55.4,87,0,6.71
32.3,-64.78,75.2,83,75,18.34
25.36,55.39,78.57,83,0,4.7
34.71,137.73,69.17,85,92,6.85
-16.84,36.99,67.82,80,0,4.5
58.04,65.27,44.06,83,44,3.6
4.96,18.7,71.6,94,20,2.24
26.59,12.77,63.95,36,20,7.52
-29.14,-59.64,57.2,73,32,8.97
51.1,66.31,49.37,52,8,11.21
15.79,120.99,81.41,86,8,3.04
60.72,-46.03,35.6,55,12,5.82
-39.81,-73.25,46.31,84,0,8.97
42.67,23.6,42.8,75,0,2.24
18.39,42.45,62.6,51,0,2.71
22.52,113.37,82.4,37,0,12.75
67.46,153.71,33.08,69,88,4.16
-7.84,-79.15,64.4,88,90,8.05
-7.47,-34.81,77.0,83,40,9.17
18.69,12.92,73.04,32,0,2.59
65.4,64.7,28.22,84,0,5.17
60.73,77.6,48.2,76,0,11.18
52.63,126.75,63.23,49,0,5.95
38.36,31.42,46.04,91,36,2.93
-8.88,147.74,67.19,100,88,2.26
-24.87,152.35,71.51,93,0,8.41
49.72,-86.95,50.0,100,90,4.7
55.29,38.01,43.59,87,75,6.71
62.53,155.8,27.86,75,92,9.64
36.41,64.91,58.28,56,0,3.94
41.28,20.71,44.51,95,32,1.7
35.17,-2.93,57.2,76,0,2.24
26.8,-109.39,84.56,54,12,3.94
-35.34,143.56,64.13,57,0,17.69
-1.65,29.38,58.91,100,88,3.71
46.59,-112.04,42.08,11,1,4.7
49.05,12.09,40.21,93,0,3.6
-0.39,-78.55,51.8,87,75,8.05
-10.62,150.67,77.63,100,44,12.77
38.41,112.73,63.86,44,0,3.38
-23.68,-45.44,68.0,100,75,3.36
45.79,-108.5,37.94,14,1,9.17
-2.03,-79.75,73.4,78,75,17.22
37.72,-25.43,69.8,77,75,6.93
20.93,-17.03,78.8,57,68,14.99
42.44,22.31,37.58,85,0,1.7
-14.27,50.17,71.69,100,92,6.06
59.08,159.95,42.44,83,92,7.52
68.54,146.19,30.38,97,36,4.61
13.22,-59.52,82.4,83,40,10.29
47.89,27.93,42.8,86,8,11.99
68.14,33.28,28.31,100,0,4.38
47.83,88.13,32.36,71,0,3.15
-2.88,108.27,88.88,68,0,12.66
-8.45,118.73,84.29,69,56,3.71
-23.65,-70.4,59.0,77,90,1.12
58.45,92.17,40.46,88,88,4.27
-17.73,-149.15,80.6,57,40,11.41
52.02,-113.95,30.2,74,90,3.36
39.36,-9.38,60.1,32,0,2.24
16.86,-99.88,82.4,83,75,6.93
45.76,8.56,50.02,93,0,6.93
59.65,67.41,46.94,74,92,6.4
-41.05,145.91,51.08,100,24,3.49
67.55,133.39,28.31,69,56,3.6
2.77,-77.67,73.94,100,92,2.15
29.7,-9.73,66.29,95,44,1.48
21.47,-158.22,84.85,67,20,13.87
-6.13,12.37,74.21,91,64,3.6
45.67,-108.77,37.94,14,1,9.17
48.41,-89.26,53.6,100,90,5.82
41.19,61.4,56.3,62,0,4.5
41.72,-8.86,63.5,51,0,3.36
-37.83,140.78,58.91,66,0,8.19
0.61,-80.02,70.88,92,36,6.96
22.68,-3.98,76.1,31,20,5.61
13.18,32.74,74.03,81,24,3.38
12.18,6.51,71.06,88,12,6.73
55.46,29.99,44.33,97,92,15.23
36.47,52.35,67.19,100,32,1.14
44.12,15.24,64.4,36,0,8.05
-40.81,-62.99,41.18,60,0,2.93
31.86,10.98,46.58,80,0,2.71
68.05,39.51,22.73,87,0,10.09
46.86,124.44,69.89,51,0,13.67
26.56,54.88,80.6,100,20,4.7
66.15,-65.72,25.88,88,88,11.43
24.47,54.37,82.4,83,0,4.94
24.63,46.72,71.6,24,0,2.71
-5.04,18.82,67.64,99,48,3.38
47.33,8.82,47.93,100,32,2.48
48.65,-53.11,46.22,100,0,13.56
-6.97,-34.84,77.0,83,40,9.17
-10.16,123.6,89.6,49,20,9.17
16.74,121.63,83.75,83,0,3.04
-3.31,129.0,80.33,100,64,10.2
21.43,39.83,69.08,69,48,2.71
8.16,-72.46,75.2,100,75,6.93
-17.88,36.89,66.74,92,0,3.94
13.21,18.34,76.37,68,0,6.73
67.8,130.41,23.36,91,56,3.38
6.19,-67.49,80.6,83,40,3.15
-3.75,-73.25,75.2,94,40,1.59
-1.2,-46.02,79.61,80,68,10.54
45.46,8.01,52.57,76,0,4.7
64.86,11.24,43.34,100,76,4.05
5.36,115.76,87.62,70,75,5.82
43.74,-81.71,67.37,90,20,23.96
-16.65,-41.03,71.6,76,0,7.85
24.8,125.28,77.0,94,75,48.32
