Latitude,Longitude,Temperature(F),Humidity%,Clouds%,Wind Speed(mph)
-16.48,-151.75,78.17,100,64,21.83
42.65,-73.75,56.23,89,40,2.15
-42.48,-73.76,40.1,100,0,5.39
-34.85,139.16,59.0,44,75,13.87
15.34,74.49,75.11,89,0,4.27
-33.64,115.35,68.27,82,76,16.02
-23.12,-134.97,68.81,100,36,19.26
-35.62,174.5,57.56,100,92,13.67
-16.36,-46.91,76.28,65,44,3.49
65.28,-126.83,30.2,58,75,6.93
-32.03,-52.1,53.24,100,0,4.5
52.96,4.76,59.61,82,90,8.05
-42.88,147.33,53.6,46,40,8.05
19.71,-155.08,76.46,65,75,11.41
50.1,-91.92,32.0,100,90,20.8
-46.19,168.86,45.14,100,80,7.18
-33.21,138.6,56.03,80,0,13.0
5.28,115.24,86.0,79,75,4.7
59.1,26.19,41.81,91,92,15.23
62.45,-114.38,24.8,62,90,4.7
-31.68,18.49,61.88,32,0,8.08
37.08,-121.61,68.74,82,40,8.05
55.1,-105.3,28.4,63,40,9.17
-13.19,49.05,72.41,77,36,5.95
60.79,-161.76,48.92,89,90,12.75
24.34,124.16,77.0,94,75,19.46
-33.02,27.91,60.53,100,88,9.75
43.31,3.47,58.01,55,0,8.05
-42.78,147.06,53.6,46,40,8.05
37.24,39.76,51.44,58,0,1.81
45.36,-73.48,51.62,93,90,4.7
-34.0,24.73,51.62,97,0,4.05
22.08,-159.32,85.71,69,1,13.87
49.72,-86.95,50.0,100,90,4.7
41.91,-1.72,59.85,63,0,13.87
-54.81,-68.31,32.0,92,75,13.87
77.48,-69.36,16.34,100,0,15.57
69.44,-133.03,23.0,85,75,12.75
-15.23,-59.33,71.6,97,44,2.37
29.03,21.55,81.41,29,36,10.76
-46.43,-67.52,49.91,50,32,7.63
58.81,-122.69,39.2,41,75,8.05
72.79,-56.15,30.11,100,68,8.75
63.73,8.83,42.8,87,75,17.22
-30.97,22.13,37.13,72,0,9.64
-29.95,-71.34,53.6,87,0,6.93
69.47,25.52,37.4,69,0,27.51
24.47,54.37,83.34,78,0,3.36
-3.66,152.44,84.2,100,32,7.4
27.68,84.43,72.5,91,24,3.15
-18.65,-173.98,78.8,83,75,16.11
10.24,-61.45,80.6,88,20,5.82
22.94,81.08,79.88,57,44,3.71
-13.85,136.42,83.93,83,0,8.63
68.31,-53.46,33.98,100,24,18.03
78.22,15.63,32.0,100,75,12.75
59.36,143.24,46.31,82,0,6.4
64.17,-51.74,32.0,100,8,4.7
36.62,101.77,39.83,79,0,3.27
12.18,6.51,71.06,88,12,6.73
-31.43,152.91,69.8,64,56,4.7
-33.59,26.89,59.54,100,64,6.85
65.61,-37.64,30.2,54,56,3.36
-34.42,19.24,39.83,94,0,4.27
-20.63,-46.0,66.47,87,68,3.71
-8.93,125.41,86.81,42,0,1.14
-0.74,-90.35,70.43,100,0,12.1
39.45,22.34,64.4,88,20,3.36
-38.55,-58.74,44.42,89,20,7.74
-9.08,-78.59,62.6,94,68,4.16
54.72,-113.29,23.63,74,12,2.93
-6.44,-36.64,70.61,83,0,10.31
-53.16,-70.91,41.0,75,40,14.99
63.84,-22.43,39.92,80,90,20.8
45.6,-0.6,51.8,87,0,3.36
-20.16,28.59,55.94,67,0,11.77
-33.69,-53.46,51.8,89,56,5.17
-9.8,-139.03,79.34,100,0,14.45
-23.58,149.07,84.92,30,12,5.39
-1.82,-44.87,79.43,77,76,8.75
-33.93,18.42,51.8,71,0,8.05
25.52,90.21,76.01,97,56,3.38
32.94,50.12,35.33,76,0,2.37
8.96,38.73,51.8,76,20,4.7
55.14,-7.45,56.12,93,80,16.13
-19.98,57.61,60.8,82,20,9.17
-2.57,150.8,85.73,100,24,4.38
8.46,36.35,56.66,100,100,2.93
-2.17,16.23,72.59,95,44,3.6
-20.41,57.7,60.8,82,20,9.17
-30.54,-52.52,46.49,89,12,4.61
-20.3,44.28,65.84,100,0,4.94
-15.82,-50.61,75.83,74,12,2.71
23.81,83.7,82.94,75,8,4.38
4.27,-54.38,82.67,65,0,4.72
64.42,-173.23,50.0,81,90,13.42
46.1,47.74,59.0,87,8,4.47
26.78,75.2,77.0,61,40,4.38
3.94,41.86,75.38,62,0,11.43
68.22,-135.01,26.6,73,90,12.75
31.71,-98.99,78.17,54,20,8.05
